target_id	length	eff_length	est_counts	tpm
ENST00000539570	744	555.614	0	0
ENST00000576455	2046	1857.61	3	21.2002
ENST00000510508	915	726.614	0	0
ENST00000474471	1209	1020.61	28	360.139
ENST00000381700	354	171.522	0	0
ENST00000445946	537	348.977	0	0
ENST00000472572	1086	897.614	0	0
ENST00000420022	462	274.795	4	191.085
ENST00000432593	318	138.609	0	0
ENST00000553856	396	210.645	34	2118.85
ENST00000556126	189	45.3737	4	1157.26
ENST00000483851	960	771.614	5	85.0636
ENST00000558098	1707	1518.61	128	1106.46
ENST00000305831	1890	1701.61	26	200.579
ENST00000551068	672	483.614	0	0
ENST00000550981	453	266.066	0	0
ENST00000361390	956	767.614	3961	67738.6
ENST00000361453	1042	853.614	3561	54762.6
ENST00000361624	1542	1353.61	9613	93226.2
ENST00000361739	684	495.614	4823	127746
ENST00000361851	207	55.8396	604	141993
ENST00000361899	681	492.614	4080	108725
ENST00000362079	784	595.614	3354	73921.7
ENST00000361227	346	164.071	583	46645.5
ENST00000361335	297	120.894	506	54943.8
ENST00000361381	1378	1189.61	6751	74496.5
ENST00000361567	1812	1623.61	4110	33230.2
ENST00000361681	525	337.113	1499	58371.4
ENST00000361789	1141	952.614	2549	35125.9
ENST00000321039	1313	1124.61	1	11.6727
ENST00000343280	5419	5230.61	21.6214	54.2632
ENST00000427512	5130	4941.61	2352.38	6249.03
ENST00000356584	1799	1610.61	0	0
ENST00000425074	1559	1370.61	0	0
ENST00000415705	563	374.832	0	0
ENST00000450712	587	398.793	0	0
ENST00000319969	996	807.614	0	0
ENST00000291809	1545	1356.61	0	0
ENST00000524372	646	457.708	0	0
ENST00000523882	577	388.832	2.01193	67.9242
ENST00000520540	568	379.832	0	0
ENST00000519310	567	378.832	0	0
ENST00000442920	1857	1668.61	0	0
ENST00000523312	572	383.832	0	0
ENST00000523439	2403	2214.61	0	0
ENST00000517598	1562	1373.61	0	0
ENST00000347466	2221	2032.61	0	0
ENST00000523138	462	274.795	0	0
ENST00000415379	2186	1997.61	0	0
ENST00000521754	561	372.832	0	0
ENST00000221735	2309	2120.61	0	0
ENST00000518999	746	557.614	0	0
ENST00000521137	690	501.614	0	0
ENST00000522346	5542	5353.61	1137.48	2789.15
ENST00000284020	1287	1098.61	0	0
ENST00000424930	2366	2177.61	0	0
ENST00000426954	2327	2138.61	0	0
ENST00000354197	1569	1380.61	0	0
ENST00000427558	714	525.614	0	0
ENST00000332030	494	306.269	0	0
ENST00000282292	2185	1996.61	431.507	2837.05
ENST00000240719	3962	3773.61	571.252	1987.21
ENST00000376233	3933	3744.61	1517.75	5320.67
ENST00000344222	3695	3506.61	15.1325	56.6496
ENST00000325134	3599	3410.61	0	0
ENST00000506609	1146	957.614	6.8675	94.1417
ENST00000196489	2508	2319.61	25.0421	141.719
ENST00000359489	1602	1413.61	0	0
ENST00000428052	1647	1458.61	0	0
ENST00000536878	4252	4063.61	209.396	676.441
ENST00000307468	2676	2487.61	0	0
ENST00000356724	1586	1397.61	6.60383	62.0272
ENST00000332854	2964	2775.61	681.958	3225.32
ENST00000418193	1200	1011.61	20	259.531
