target_id	length	eff_length	est_counts	tpm
ENST00000539570	744	552.746	3	59.6188
ENST00000576455	2046	1854.75	6	35.5348
ENST00000510508	915	723.746	0	0
ENST00000474471	1209	1017.75	51	550.45
ENST00000381700	354	168.958	2	130.028
ENST00000445946	537	346.154	0	0
ENST00000472572	1086	894.746	0	0
ENST00000420022	462	272.068	0	0
ENST00000432593	318	136.696	0	0
ENST00000553856	396	208.247	39	2057.18
ENST00000556126	189	43.669	0	0
ENST00000483851	960	768.746	7	100.024
ENST00000558098	1707	1515.75	125	905.88
ENST00000305831	1890	1698.75	44	284.519
ENST00000551068	672	480.796	0	0
ENST00000550981	453	263.15	0	0
ENST00000361390	956	764.746	4574	65700.1
ENST00000361453	1042	850.746	4344	56088.9
ENST00000361624	1542	1350.75	11375	92505
ENST00000361739	684	492.796	4989	111207
ENST00000361851	207	53.7906	704	143765
ENST00000361899	681	489.796	4770	106977
ENST00000362079	784	592.746	3970	73571.4
ENST00000361227	346	161.656	750	50963.1
ENST00000361335	297	118.687	691	63953.1
ENST00000361381	1378	1186.75	8530	78954.8
ENST00000361567	1812	1620.75	5123	34721.4
ENST00000361681	525	334.188	1729	56831.9
ENST00000361789	1141	949.746	3145	36374.8
ENST00000321039	1313	1121.75	1	9.79248
ENST00000343280	5419	5227.75	18.0891	38.0093
ENST00000427512	5130	4938.75	2761.91	6143
ENST00000356584	1799	1607.75	0	0
ENST00000425074	1559	1367.75	0	0
ENST00000415705	563	372.083	0	0
ENST00000450712	587	395.966	0	0
ENST00000319969	996	804.746	0	0
ENST00000291809	1545	1353.75	0	0
ENST00000524372	646	454.796	0	0
ENST00000523882	577	386.045	0.00982009	0.279425
ENST00000520540	568	377.083	0	0
ENST00000519310	567	376.083	0	0
ENST00000442920	1857	1665.75	0	0
ENST00000523312	572	381.083	1.23936	35.7244
ENST00000523439	2403	2211.75	0	0
ENST00000517598	1562	1370.75	0	0
ENST00000347466	2221	2029.75	0	0
ENST00000523138	462	272.068	2.77559	112.063
ENST00000415379	2186	1994.75	0	0
ENST00000521754	561	370.083	0	0
ENST00000221735	2309	2117.75	0	0
ENST00000518999	746	554.746	0	0
ENST00000521137	690	498.796	0	0
ENST00000522346	5542	5350.75	1391.97	2857.61
ENST00000284020	1287	1095.75	0	0
ENST00000424930	2366	2174.75	0	0
ENST00000426954	2327	2135.75	0	0
ENST00000354197	1569	1377.75	0	0
ENST00000427558	714	522.746	0	0
ENST00000332030	494	303.471	0	0
ENST00000282292	2185	1993.75	539.479	2972.3
ENST00000240719	3962	3770.75	353.922	1031.02
ENST00000376233	3933	3741.75	2221.08	6520.44
ENST00000344222	3695	3503.75	16.4947	51.7128
ENST00000325134	3599	3407.75	1.33532e-05	4.30433e-05
ENST00000506609	1146	954.746	10.5053	120.867
ENST00000196489	2508	2316.75	14.0393	66.5662
ENST00000359489	1602	1410.75	0	0
ENST00000428052	1647	1455.75	0	0
ENST00000536878	4252	4060.75	253.676	686.216
ENST00000307468	2676	2484.75	0	0
ENST00000356724	1586	1394.75	4.32379	34.0531
ENST00000332854	2964	2772.75	838.488	3321.81
ENST00000418193	1200	1008.75	24	261.347
