"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",747.194195359907,-0.350702962281381,0.168242083225411,-2.08451390732905,0.0371134465274854,0.163017154193378
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000000419",520.134160051965,0.206107283859602,0.101041504449265,2.03982793984518,0.0413674659616248,0.175936611061165
"ENSG00000000457",322.664843927049,0.0245270113332313,0.145133863746684,0.16899578568404,0.865799956260455,0.96168245966737
"ENSG00000000460",87.682625164828,-0.147142630021681,0.256995442046979,-0.572549570722673,0.566949713030672,0.815805192481525
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA
"ENSG00000000971",5760.14836162122,0.459281901677217,0.234317862417673,1.96008062269937,0.04998636770758,0.200967225625511
"ENSG00000001036",2025.39179382894,-0.228243775347849,0.124998993764413,-1.82596490158971,0.0678555488820807,0.246740045094625
"ENSG00000001084",652.173308358757,-0.253030788212287,0.202576353336743,-1.24906379271066,0.211641742283329,0.495029218051122
"ENSG00000001167",411.684395281717,-0.533733422545994,0.228792179434635,-2.33283071066893,0.0196570321507369,0.10524249359359
"ENSG00000001460",201.336569053853,-0.123557684163937,0.161101482332555,-0.766955600749113,0.443107913936259,0.730575527744366
"ENSG00000001461",2918.77668675377,0.00210155962293404,0.288715698829658,0.00727899324994433,0.994192254953738,0.998014297161421
"ENSG00000001497",539.501702816792,-0.0573209155425994,0.109328548105936,-0.524299613739107,0.600070165508702,0.83756713288069
"ENSG00000001561",115.914401421895,0.286817003150612,0.716013999282036,0.400574574572857,0.68873336811347,0.887129346834368
"ENSG00000001617",604.297522477042,-0.192202823229574,0.198689546634748,-0.967352467630826,0.333367863123291,0.638988083768851
"ENSG00000001626",9.6724145714589,-0.286393736030515,0.586213534248081,-0.488548488389753,0.625161389354516,NA
"ENSG00000001629",1826.75812135437,-0.246091168768388,0.190393749931737,-1.29253806312771,0.196170873159248,0.474424555972151
"ENSG00000001630",979.608386428197,-0.179753409132616,0.121371315352242,-1.48102052458555,0.138601104267855,0.386398734460786
"ENSG00000001631",848.723819299268,-0.0712549215345435,0.153647890269514,-0.463754636718767,0.642823547471976,0.862088251701327
"ENSG00000002016",203.735815126675,-0.411582551314447,0.228450695008626,-1.80162529730499,0.0716043784110465,0.255766111093231
"ENSG00000002079",3.06484852801131,1.06113089787817,1.77215403624212,0.598780284431883,0.549319411286867,NA
